season,enough_space_in_trashmaster,time_since_flush,type_of_trash,access_to_bin,distance,decision
2,2,1,1,2,10,1
2,2,2,2,2,8,1
2,2,3,3,2,6,1
2,2,4,4,2,4,0
2,2,5,5,2,2,0
2,2,6,1,2,1,1
2,2,7,2,2,3,1
2,2,8,3,2,5,0
2,2,9,4,2,7,0
2,2,10,5,2,9,1
2,2,1,1,2,2,0
2,2,2,2,2,1,1
2,2,3,3,2,3,0
2,2,4,4,2,4,1
2,2,5,5,2,5,0
2,2,6,1,2,6,1
2,2,7,2,2,7,0
2,2,8,3,2,8,1
2,2,9,4,2,9,0
2,2,10,5,2,10,1
2,2,1,1,2,7,1
2,2,2,2,2,6,0
2,2,3,3,2,5,1
2,2,4,4,1,4,0
2,2,5,5,1,3,0
2,2,6,1,1,2,0
2,2,7,2,1,1,1
2,2,8,3,1,9,0
2,2,9,4,1,8,0
2,2,10,5,1,7,0
2,2,1,1,1,3,0
2,2,2,2,1,2,0
2,2,3,3,1,1,0
2,2,4,4,1,4,0
2,1,5,5,1,5,0
2,1,6,1,1,6,0
2,1,7,2,1,10,0
2,1,8,3,1,9,0
2,1,9,4,1,8,0
2,1,10,5,1,7,0
2,1,1,1,1,2,0
2,1,2,2,1,4,0
2,1,3,3,1,6,0
2,1,4,4,1,8,0
2,1,5,5,2,10,0
2,1,6,1,2,1,0
2,1,7,2,2,3,0
2,1,8,3,2,5,0
2,1,9,4,2,7,0
2,1,10,5,2,9,0
3,2,1,1,2,2,1
3,2,2,2,2,1,1
3,2,3,3,2,4,1
3,2,4,4,2,3,0
3,2,5,5,2,6,1
3,2,6,1,2,5,1
3,2,7,2,2,8,0
3,2,8,3,2,7,1
3,2,9,4,2,9,1
3,2,10,5,2,10,0
3,2,1,1,2,7,1
3,2,2,2,2,6,1
3,2,3,3,2,4,1
3,2,4,4,2,1,0
3,2,5,5,2,2,1
3,2,6,1,2,3,1
3,2,7,2,2,9,0
3,2,8,3,2,8,0
3,2,9,4,2,5,1
3,2,10,5,2,4,0
3,2,1,1,2,1,1
3,2,2,2,1,7,0
3,2,3,3,1,9,0
3,2,4,4,1,10,0
3,2,5,5,1,3,0
3,2,6,1,1,2,0
3,2,7,2,1,5,0
3,2,8,3,1,6,0
3,2,9,4,1,8,0
3,1,10,5,1,3,0
3,1,1,1,1,1,0
3,1,2,2,1,2,0
3,1,3,3,1,6,0
3,1,4,4,1,9,0
3,1,5,5,1,7,0
3,1,6,1,1,4,0
3,1,7,2,1,3,0
3,1,8,3,1,5,0
3,1,9,4,1,10,0
3,1,10,5,1,8,0
3,1,1,1,2,2,0
3,1,2,2,2,4,0
3,1,3,3,2,6,0
3,1,4,4,2,7,0
3,1,5,5,2,1,0
3,1,6,1,2,9,0
3,1,7,2,2,3,0
3,1,8,3,2,9,0
3,1,9,4,2,9,0
3,1,10,5,2,1,0
4,2,1,1,2,9,1
4,2,2,2,2,7,1
4,2,3,3,2,5,1
4,2,4,4,2,3,1
4,2,5,5,2,1,1
4,2,6,1,2,2,1
4,2,7,2,2,2,1
4,2,8,3,2,4,1
4,2,9,4,2,6,1
4,2,10,5,2,8,1
4,2,1,1,2,1,1
4,2,2,2,2,3,1
4,2,3,3,2,5,1
4,2,4,4,2,6,1
4,2,5,5,2,4,1
4,2,6,1,2,5,1
4,2,7,2,2,6,1
4,2,8,3,2,7,1
4,2,9,4,2,8,1
4,2,10,5,2,10,1
4,2,1,1,2,6,1
4,2,7,2,2,3,1
4,2,8,3,2,5,1
4,2,9,4,2,7,1
4,2,10,5,2,9,1
4,2,1,1,2,2,1
4,2,7,2,1,1,0
4,2,8,3,1,9,0
4,2,9,4,1,8,0
4,2,10,5,1,7,0
4,2,1,1,1,3,0
4,2,2,2,1,2,0
4,2,3,3,1,1,0
4,2,4,4,1,4,0
4,2,5,5,1,5,0
4,2,6,1,1,6,0
4,2,7,2,1,10,0
4,2,8,3,1,9,0
4,2,9,4,1,8,0
4,2,10,5,1,7,0
4,2,1,1,1,2,0
4,2,2,2,1,4,0
4,2,3,3,1,6,0
4,2,4,4,1,8,0
4,2,5,5,2,10,1
4,2,6,1,2,1,1
4,1,2,2,2,5,1
4,1,3,3,2,4,1
4,1,4,4,1,3,0
4,1,5,5,1,2,0
4,1,6,1,1,1,0
1,2,2,2,2,1,1
1,2,3,3,2,4,1
1,2,4,4,2,3,1
1,2,5,5,2,6,1
1,2,6,1,2,5,1
1,2,7,2,2,8,1
1,2,8,3,2,7,1
1,2,9,4,2,9,1
1,2,10,5,2,10,1
1,2,1,1,2,7,1
1,2,2,2,2,6,1
1,2,3,3,2,4,0
1,2,4,4,2,1,1
1,2,5,5,2,2,1
1,2,6,1,2,3,1
1,2,7,2,2,9,1
1,2,8,3,2,8,0
1,2,9,4,2,5,1
1,2,10,5,2,4,1
1,2,1,1,2,1,1
1,2,2,2,1,7,0
1,2,3,3,1,9,0
1,2,4,4,1,10,0
1,2,5,5,1,3,0
1,2,6,1,1,2,0
1,2,7,2,1,5,0
1,2,8,3,1,6,0
1,2,9,4,1,8,0
1,2,10,5,1,3,0
1,2,1,1,1,1,0
1,2,2,2,1,2,0
1,2,3,3,1,6,0
1,2,4,4,1,9,0
1,2,5,5,1,7,0
1,2,6,1,1,4,0
1,2,7,2,1,3,0
1,2,8,3,1,5,0
1,2,9,4,1,10,0
1,2,10,5,1,8,0
1,2,1,1,2,2,1
1,1,2,2,2,4,0
1,1,3,3,2,6,0
1,1,4,4,2,7,0
1,1,5,5,2,1,0
1,1,6,1,2,9,0
1,1,7,2,2,3,0
1,1,8,3,2,9,0
1,1,9,4,2,9,0
1,1,10,5,2,1,0
